date,state,variable,value
2021-03-30,W.P. Kuala Lumpur,Pfizer,5062
2021-03-30,W.P. Labuan,Pfizer,24
2021-03-30,W.P. Putrajaya,Pfizer,370
2021-03-31,Johor,Pfizer,1732
2021-03-31,Kedah,Pfizer,2576
2021-03-31,Kelantan,Pfizer,1341
2021-03-31,Melaka,Pfizer,1622
2021-03-31,Negeri Sembilan,Pfizer,2703
2021-03-31,Pahang,Pfizer,943
2021-03-31,Perak,Pfizer,1716
2021-03-31,Perlis,Pfizer,429
2021-03-31,Pulau Pinang,Pfizer,2157
2021-03-31,Sabah,Pfizer,3218
2021-03-31,Sarawak,Pfizer,3494
2021-03-31,Selangor,Pfizer,4879
2021-03-31,Terengganu,Pfizer,2428
2021-03-31,W.P. Kuala Lumpur,Pfizer,4327
2021-03-31,W.P. Labuan,Pfizer,132
2021-03-31,W.P. Putrajaya,Pfizer,408
2021-04-01,Johor,Pfizer,4020
2021-04-01,Kedah,Pfizer,1688
2021-04-01,Kelantan,Pfizer,831
2021-04-01,Melaka,Pfizer,1640
2021-04-01,Negeri Sembilan,Pfizer,1445
2021-04-01,Pahang,Pfizer,2045
2021-04-01,Perak,Pfizer,4071
2021-04-01,Perlis,Pfizer,1154
2021-04-01,Pulau Pinang,Pfizer,2953
2021-04-01,Sabah,Pfizer,2282
2021-04-01,Sarawak,Pfizer,2701
2021-04-01,Selangor,Pfizer,6466
2021-04-01,Terengganu,Pfizer,850
2021-04-01,W.P. Kuala Lumpur,Pfizer,5090
2021-04-01,W.P. Labuan,Pfizer,109
2021-04-01,W.P. Putrajaya,Pfizer,396
2021-04-02,Johor,Pfizer,1192
2021-04-02,Kedah,Pfizer,425
2021-04-02,Kelantan,Pfizer,84
2021-04-02,Melaka,Pfizer,1335
2021-04-02,Negeri Sembilan,Pfizer,1590
2021-04-02,Pahang,Pfizer,2217
2021-04-02,Perak,Pfizer,6004
2021-04-02,Perlis,Pfizer,855
2021-04-02,Pulau Pinang,Pfizer,3161
2021-04-02,Sabah,Pfizer,1467
2021-04-02,Sarawak,Pfizer,1009
2021-04-02,Selangor,Pfizer,4086
2021-04-02,Terengganu,Pfizer,0
2021-04-02,W.P. Kuala Lumpur,Pfizer,3169
2021-04-02,W.P. Labuan,Pfizer,144
2021-04-02,W.P. Putrajaya,Pfizer,92
2021-04-03,Johor,Pfizer,1690
2021-04-03,Kedah,Pfizer,448
2021-04-03,Kelantan,Pfizer,0
2021-04-03,Melaka,Pfizer,228
2021-04-03,Negeri Sembilan,Pfizer,21
2021-04-03,Pahang,Pfizer,2863
2021-04-03,Perak,Pfizer,2755
2021-04-03,Perlis,Pfizer,216
2021-04-03,Pulau Pinang,Pfizer,815
2021-04-03,Sabah,Pfizer,2717
2021-04-03,Sarawak,Pfizer,1917
2021-04-03,Selangor,Pfizer,2475
2021-04-03,Terengganu,Pfizer,0
2021-04-03,W.P. Kuala Lumpur,Pfizer,2
2021-04-03,W.P. Labuan,Pfizer,118
2021-04-03,W.P. Putrajaya,Pfizer,0
2021-04-04,Johor,Pfizer,2426
2021-04-04,Kedah,Pfizer,1398
2021-04-04,Kelantan,Pfizer,85
